tempo_contrato,valor_mensal,reclamacoes,cancelou,nota_satisfacao,chamados_suporte
39,95.83,2,0,5,1
29,104.56,1,0,4,1
15,144.15,0,0,5,0
43,88.61,3,1,5,3
8,146.12,2,0,5,2
21,140.54,0,0,5,1
39,69.58,2,0,5,1
19,56.94,0,0,4,0
23,60.08,1,0,4,1
11,51.82,0,0,5,1
11,59.44,0,0,5,2
24,118.3,1,0,3,3
36,57.12,1,0,5,3
40,81.9,0,0,5,1
24,134.49,1,0,4,1
3,52.33,3,1,4,6
22,131.45,0,0,5,0
2,78.19,2,1,5,2
24,61.82,0,0,5,0
44,119.67,0,0,5,0
30,112.89,0,0,4,1
38,137.75,0,0,5,1
2,123.51,2,1,3,2
21,130.35,2,0,5,0
33,78.2,2,0,3,0
12,67.74,2,0,5,0
22,125.06,1,0,4,1
44,130.68,2,0,4,1
25,149.05,4,1,4,4
27,91.26,0,0,5,1
42,87.2,1,0,5,2
28,127.64,1,0,5,1
16,84.08,0,0,5,0
15,143.08,3,1,4,1
47,135.84,1,0,4,1
44,92.9,1,0,5,0
3,125.09,1,1,5,3
37,125.45,3,1,5,2
7,60.31,0,0,4,0
21,140.26,0,0,5,1
9,100.53,4,1,4,4
39,132.65,0,0,3,0
18,82.0,2,0,4,2
4,139.55,1,1,4,2
25,88.92,0,0,5,5
14,51.08,1,0,5,1
9,140.54,1,0,5,3
26,59.13,1,0,4,1
2,81.93,2,1,4,3
20,145.01,2,0,4,2
28,145.06,2,0,5,1
47,107.34,0,0,5,0
7,113.18,1,0,5,0
44,94.84,0,0,5,0
8,79.32,2,0,4,1
47,82.87,1,0,5,0
35,117.25,0,0,4,2
14,125.24,3,1,3,5
17,129.16,1,0,5,1
36,128.96,2,0,5,1
40,59.12,1,0,4,0
4,99.44,0,1,4,2
2,55.76,1,1,5,1
6,104.95,2,0,4,3
42,94.15,4,1,3,1
4,138.77,2,1,4,4
29,85.09,1,0,5,0
18,61.71,2,0,5,4
26,64.3,2,0,5,2
44,126.15,2,0,5,0
34,111.82,1,0,5,1
10,60.11,6,1,4,5
36,58.41,1,0,5,2
14,120.1,1,0,4,1
31,57.28,0,0,5,0
15,132.19,0,0,5,0
8,120.62,2,0,5,0
14,58.13,0,0,4,0
23,58.48,1,0,5,2
40,148.66,2,0,5,2
21,87.43,2,0,5,1
16,87.06,0,0,5,1
45,131.28,1,0,4,0
18,144.72,5,1,3,10
47,148.6,2,0,5,1
24,125.34,4,1,3,5
26,87.63,2,0,5,4
25,58.35,0,0,4,3
45,127.71,1,0,5,3
41,105.84,1,0,4,0
29,92.42,0,0,5,1
15,140.64,0,0,5,0
45,61.12,2,0,5,2
1,99.26,1,1,4,2
25,51.14,2,0,5,0
7,96.87,3,1,4,2
9,55.63,1,0,5,2
24,61.88,2,0,5,3
1,61.75,2,1,4,1
44,114.92,1,0,5,0
8,124.6,0,0,5,4
24,108.34,0,0,5,0
11,146.22,2,0,5,2
